       2.5 1
1       5   1
1       10  1
0.8     2.5 1
0.8     5   1
0.8     10  1
0.6     2.5 1
0.6     5   1
0.6     10  1
1       2.5 0.8
1       5   0.8
1       10  0.8
0.8     2.5 0.8
0.8     5   0.8
0.8     10  0.8
0.6     2.5 0.8
0.6     5   0.8
0.6     10  0.8
1       2.5 0.5
1       5   0.5
1       10  0.5
0.8     2.5 0.5
0.8     5   0.5
0.8     10  0.5
0.6     2.5 0.5
0.6     5   0.5
0.6     10  0.5
1       2.5 1.5
1       5   1.5
1       10  1.5
0.8     2.5 1.5
0.8     5   1.5
0.8     10  1.5
0.6     2.5 1.5
0.6     5   1.5
0.6     10  1.5
1       2.5 2
1       5   2
1       10  2
0.8     2.5 2
0.8     5   2
0.8     10  2
0.6     2.5 2
0.6     5   2
0.6     10  2
