holo,apo,holo_res,apo_res,res_diff
2rbs,2rbp,1.557,1.46691,0.09009
2ou0,1c6g,1.94213,1.9158,0.026329999999999965
2at8,1koi,1.0,1.0800100000000001,-0.08001000000000014
3c78,1koi,0.9800120000000001,1.0800100000000001,-0.09999800000000003
3c77,1d2u,1.0800299999999998,1.15115,-0.07112000000000007
2oty,188l,1.70059,1.7873299999999999,-0.08673999999999982
2at6,4hpd,1.22003,1.30001,-0.07998000000000016
2h5d,1ssx,0.899717,0.829996,0.06972100000000003
2at5,4hpd,1.22,1.30001,-0.08001000000000014
4psy,4pth,0.8494860000000001,0.8494860000000001,0.0
4gui,4gfs,1.7800200000000002,1.8010099999999998,-0.02098999999999962
6nlk,5d8o,1.85,1.9000099999999998,-0.050009999999999666
2rb0,1c6h,1.8396,1.9166,-0.07700000000000018
4i3p,1yfu,1.9607700000000001,1.9,0.06077000000000021
3ht6,3ht8,1.41088,1.46241,-0.051530000000000076
4nmg,483d,1.00959,1.10585,-0.09626000000000001
4nxh,483d,1.15815,1.10585,0.05230000000000001
6a3h,1a3h,1.6664900000000002,1.60047,0.06602000000000019
6nlm,5d8o,1.9,1.9000099999999998,-9.999999999843467e-06
4w9s,4m5v,1.7998599999999998,1.7994599999999998,0.00039999999999995595
2rbr,2rbp,1.4336,1.46691,-0.03330999999999995
6ro3,4ngj,1.00004,1.09959,-0.09955000000000003
5d99,1q9a,0.97004,1.03995,-0.06990999999999992
4i6w,4i64,1.6633099999999998,1.75046,-0.08715000000000006
4mk2,4m5v,1.8429200000000001,1.7994599999999998,0.043460000000000276
5nyc,5nye,1.51005,1.55001,-0.03996000000000022
4oyq,4plu,1.6972200000000002,1.62897,0.06825000000000014
3htd,3hua,1.3998899999999999,1.40226,-0.0023700000000002053
3gy5,5k7r,1.56803,1.50001,0.06801999999999997
4r59,6fji,1.6473900000000001,1.5994,0.0479900000000002
2raz,1l83,1.64061,1.70629,-0.06568000000000018
2raz,181l,1.64061,1.70629,-0.06568000000000018
3gy4,3rxp,1.54961,1.59933,-0.049719999999999986
4rgc,4ptj,1.05027,1.05027,0.0
3gy2,5k7r,1.5671700000000002,1.50001,0.06716000000000011
4riu,6fji,1.6505400000000001,1.5994,0.051140000000000185
5nyb,5ny2,1.8808,1.8499400000000001,0.030859999999999888
5d2h,5d2f,1.73659,1.73775,-0.0011599999999998278
6b4n,5bry,1.30118,1.33877,-0.03759000000000001
2z3c,2z9g,1.7900599999999998,1.8585099999999999,-0.06845000000000012
1gi2,4ncy,1.3301,1.423,-0.09289999999999998
1gi1,4ncy,1.3309,1.423,-0.09210000000000007
5wlo,5bry,1.26938,1.33877,-0.06939000000000006
1gi0,1c2m,1.34009,1.33039,0.009700000000000042
1zha,1t99,1.7399099999999998,1.75004,-0.010130000000000194
1ghz,1c2m,1.3301,1.33039,-0.00028999999999990145
2wbw,2j12,1.55016,1.50119,0.04896999999999996
4whq,4who,1.78235,1.82997,-0.047619999999999996
5tyk,5ch3,1.65,1.7100099999999998,-0.0600099999999999
5tyk,5ivh,1.65,1.7100099999999998,-0.0600099999999999
5tyk,5ivd,1.65,1.7100099999999998,-0.0600099999999999
3s0d,3s0a,1.24001,1.1499,0.09011000000000013
4whr,3t67,1.58205,1.6722,-0.09014999999999995
1uih,1jiy,1.7517599999999998,1.85011,-0.09835000000000016
2zxg,3b2x,1.54996,1.50153,0.04842999999999997
3f33,3f38,1.70022,1.7502900000000001,-0.05007000000000006
3f34,3f38,1.6801400000000002,1.7502900000000001,-0.07014999999999993
6coe,6cob,1.84401,1.8211700000000002,0.02283999999999975
2wd4,2vnx,1.40065,1.5000799999999999,-0.09942999999999991
2bf6,2vk5,0.970001,0.969995,5.999999999950489e-06
3f36,3f38,1.70006,1.7502900000000001,-0.05023000000000022
3mv6,4who,1.85894,1.82997,0.02896999999999994
3huk,3htg,1.28928,1.25621,0.03306999999999993
5nhy,3q93,1.72005,1.8,-0.07994999999999997
