2rbp 1.46691 2rbs 1.557 2rbs 269
183l 1.88841 2ou0 1.94213 2ou0 MR3
1c6e 1.90233 2ou0 1.94213 2ou0 MR3
1c6g 1.9158 2ou0 1.94213 2ou0 MR3
1c6i 1.90673 2ou0 1.94213 2ou0 MR3
1c6j 1.90059 2ou0 1.94213 2ou0 MR3
1c6k 1.90306 2ou0 1.94213 2ou0 MR3
1ywb 0.969977 2at8 1 2at8 FDD
1x8o 1.00611 2at8 1 2at8 FDD
1x8n 1.08 2at8 1 2at8 FDD
1ywd 1.07999 2at8 1 2at8 FDD
1koi 1.08001 2at8 1 2at8 FDD
1ywc 1.00001 2at8 1 2at8 FDD
1ywa 0.889977 3c78 0.980012 3c78 FDD
1ywb 0.969977 3c78 0.980012 3c78 FDD
1x8o 1.00611 3c78 0.980012 3c78 FDD
1x8n 1.08 3c78 0.980012 3c78 FDD
1ywd 1.07999 3c78 0.980012 3c78 FDD
1koi 1.08001 3c78 0.980012 3c78 FDD
1ywc 1.00001 3c78 0.980012 3c78 FDD
1x8o 1.00611 3c77 1.08003 3c77 FDE
1x8n 1.08 3c77 1.08003 3c77 FDE
1ywd 1.07999 3c77 1.08003 3c77 FDE
2ofm 1.11 3c77 1.08003 3c77 FDE
1d2u 1.15115 3c77 1.08003 3c77 FDE
1koi 1.08001 3c77 1.08003 3c77 FDE
1ywc 1.00001 3c77 1.08003 3c77 FDE
1l83 1.70629 2oty 1.70059 2oty YAN
1l90 1.75009 2oty 1.70059 2oty YAN
181l 1.70629 2oty 1.70059 2oty YAN
182l 1.76491 2oty 1.70059 2oty YAN
185l 1.75885 2oty 1.70059 2oty YAN
187l 1.76144 2oty 1.70059 2oty YAN
188l 1.78733 2oty 1.70059 2oty YAN
1nhb 1.7589 2oty 1.70059 2oty YAN
1d2u 1.15115 2at6 1.22003 2at6 FDE
1ikj 1.27 2at6 1.22003 2at6 FDE
4hpd 1.30001 2at6 1.22003 2at6 FDE
2h5c 0.819286 2h5d 0.899717 2h5d MSU
1ssx 0.829996 2h5d 0.899717 2h5d MSU
1d2u 1.15115 2at5 1.22 2at5 FDE
1ikj 1.27 2at5 1.22 2at5 FDE
4hpd 1.30001 2at5 1.22 2at5 FDE
4pth 0.849486 4psy 0.849486 4psy NAP
4gfs 1.80101 4gui 1.78002 4gui QIC
5d8o 1.90001 6nlk 1.85 6nlk KTG
1l90 1.75009 2rb0 1.8396 2rb0 260
182l 1.76491 2rb0 1.8396 2rb0 260
183l 1.88841 2rb0 1.8396 2rb0 260
185l 1.75885 2rb0 1.8396 2rb0 260
187l 1.76144 2rb0 1.8396 2rb0 260
188l 1.78733 2rb0 1.8396 2rb0 260
1nhb 1.7589 2rb0 1.8396 2rb0 260
1c6e 1.90233 2rb0 1.8396 2rb0 260
1c6g 1.9158 2rb0 1.8396 2rb0 260
1c6h 1.9166 2rb0 1.8396 2rb0 260
1c6i 1.90673 2rb0 1.8396 2rb0 260
1c6j 1.90059 2rb0 1.8396 2rb0 260
1c6k 1.90306 2rb0 1.8396 2rb0 260
4hsj 1.88265 4i3p 1.96077 4i3p 1CW
1yfu 1.9 4i3p 1.96077 4i3p 1CW
3ht8 1.46241 3ht6 1.41088 3ht6 JZ0
3dvz 1.00001 4nmg 1.00959 4nmg 6FU
483d 1.10585 4nmg 1.00959 4nmg 6FU
1q9a 1.03995 4nmg 1.00959 4nmg 6FU
483d 1.10585 4nxh 1.15815 4nxh 6FU
1a3h 1.60047 6a3h 1.66649 6a3h FCT
5d8o 1.90001 6nlm 1.9 6nlm KT1
4m5v 1.79946 4w9s 1.79986 4w9s 3K1
2rbp 1.46691 2rbr 1.4336 2rbr 268
4ngj 1.09959 6ro3 1.00004 6ro3 KBW
3dvz 1.00001 5d99 0.97004 5d99 OMU
1q9a 1.03995 5d99 0.97004 5d99 OMU
4i64 1.75046 4i6w 1.66331 4i6w 1CO
4m5v 1.79946 4mk2 1.84292 4mk2 28B
5nye 1.55001 5nyc 1.51005 5nyc CNV
4izs 1.44001 5nyc 1.51005 5nyc CNV
4plu 1.62897 4oyq 1.69722 4oyq 1X2
3hua 1.40226 3htd 1.39989 3htd JZ5
5k7r 1.50001 3gy5 1.56803 3gy5 BRN
2j9n 1.492 3gy5 1.56803 3gy5 BRN
6fji 1.5994 4r59 1.64739 4r59 3J3
1l83 1.70629 2raz 1.64061 2raz 259
181l 1.70629 2raz 1.64061 2raz 259
3gy7 1.54977 3gy4 1.54961 3gy4 HMG
2otv 1.56004 3gy4 1.54961 3gy4 HMG
3rxp 1.59933 3gy4 1.54961 3gy4 HMG
2ptn 1.50009 3gy4 1.54961 3gy4 HMG
4ptj 1.05027 4rgc 1.05027 4rgc NAP
5k7r 1.50001 3gy2 1.56717 3gy2 BRN
2j9n 1.492 3gy2 1.56717 3gy2 BRN
6fji 1.5994 4riu 1.65054 4riu 2c18
5ny2 1.84994 5nyb 1.8808 5nyb 9EE
5d2f 1.73775 5d2h 1.73659 5d2h AKG
5d2g 1.69901 5d2h 1.73659 5d2h AKG
5bry 1.33877 6b4n 1.30118 6b4n G53
2z9g 1.85851 2z3c 1.79006 2z3c Z3E
2z94 1.78 2z3c 1.79006 2z3c Z3E
4ncy 1.423 1gi2 1.3301 1gi2 122
2by5 1.30002 1gi2 1.3301 1gi2 122
2by6 1.30002 1gi2 1.3301 1gi2 122
2by7 1.3 1gi2 1.3301 1gi2 122
2by8 1.30001 1gi2 1.3301 1gi2 122
2by9 1.30002 1gi2 1.3301 1gi2 122
